iter	Passed	Remaining
186	46318	77528
187	46560	77270
188	46798	77006
189	47102	76851
190	47344	76594
191	47597	76353
192	47830	76082
193	48072	75825
194	48306	75555
195	48561	75320
196	48825	75097
197	49089	74874
198	49322	74603
199	49562	74343
200	49817	74106
201	50066	73861
202	50326	73629
203	50584	73397
204	50824	73137
205	51095	72922
206	51319	72640
207	51566	72391
208	51793	72114
209	52055	71886
210	52290	71620
211	52512	71337
212	52790	71130
213	53024	70865
214	53264	70605
215	53495	70336
216	53734	70078
217	53971	69816
218	54195	69538
219	54472	69328
220	54710	69068
221	54972	68839
222	55221	68593
223	55464	68340
224	55713	68094
225	55950	67833
226	56211	67602
227	56451	67346
228	56757	67167
229	57001	66915
230	57245	66662
231	57511	66435
232	57760	66188
233	58002	65933
234	58245	65680
235	58498	65439
236	58765	65212
237	59020	64972
238	59263	64718
239	59497	64455
240	59755	64218
241	60000	63967
242	60257	63729
243	60510	63486
244	60759	63239
245	60992	62976
246	61234	62721
247	61492	62483
248	61731	62227
249	61983	61983
250	62232	61736
251	62493	61501
252	62761	61273
253	63002	61017
254	63237	60757
255	63515	60537
256	63788	60314
257	64055	60083
258	64290	59822
259	64550	59585
260	64775	59315
261	65037	59080
262	65303	58847
263	65578	58622
264	65821	58370
265	66073	58124
266	66333	57886
267	66582	57638
268	66839	57397
269	67105	57163
270	67356	56917
271	67583	56650
272	67846	56414
273	68088	56160
274	68313	55892
275	68564	55646
276	68828	55410
277	69086	55169
278	69346	54930
279	69591	54678
280	69849	54437
281	70143	54224
282	70382	53967
283	70667	53746
284	70925	53505
285	71201	53276
286	71465	53038
287	71717	52791
288	71976	52550
289	72241	52312
290	72484	52059
291	72729	51807
292	72978	51558
293	73227	51308
294	73483	51064
295	73724	50810
296	73957	50550
297	74200	50297
298	74429	50034
299	74676	49784
300	74926	49536
301	75154	49273
302	75401	49023
303	75641	48768
304	75870	48507
305	76109	48252
306	76340	47992
307	76617	47761
308	76858	47508
309	77105	47258
310	77339	47000
311	77578	46746
312	77821	46493
313	78068	46244
314	78319	45996
315	78545	45735
316	78788	45483
317	79067	45252
318	79314	45002
319	79572	44759
320	79834	44518
321	80082	44268
322	80329	44019
323	80559	43760
324	80812	43514
325	81055	43262
326	81304	43014
327	81544	42761
328	81778	42504
329	82022	42254
330	82278	42009
331	82539	41767
332	82808	41528
333	83042	41272
334	83305	41031
335	83550	40780
336	83785	40525
337	84027	40273
338	84274	40023
339	84533	39780
340	84775	39528
341	85025	39280
342	85275	39032
343	85514	38779
344	85757	38528
345	85982	38269
346	86229	38020
347	86487	37776
348	86727	37523
349	86965	37271
350	87213	37022
351	87458	36772
352	87716	36527
353	87955	36275
354	88238	36041
355	88505	35800
356	88762	35554
357	88985	35295
358	89240	35049
359	89511	34810
360	89749	34557
361	90013	34314
362	90281	34073
363	90523	33821
364	90756	33567
365	91020	33324
366	91243	33066
367	91487	32816
368	91732	32566
369	91979	32317
370	92239	32072
371	92494	31826
372	92754	31581
373	92992	31328
374	93215	31071
375	93471	30825
376	93727	30579
377	93985	30334
378	94238	30086
379	94489	29838
380	94771	29600
381	95041	29358
382	95288	29109
383	95543	28862
384	95802	28616
385	96037	28363
386	96287	28115
387	96538	27866
388	96799	27621
389	97049	27372
390	97279	27118
391	97551	26876
392	97810	26630
393	98052	26379
394	98292	26128
395	98567	25886
396	98830	25641
397	99080	25392
398	99320	25141
399	99571	24892
400	99830	24646
401	100069	24395
402	100308	24143
403	100565	23896
404	100803	23645
405	101050	23395
406	101301	23147
407	101555	22899
408	101788	22647
409	102065	22404
410	102329	22158
411	102579	21910
412	102824	21660
413	103067	21410
414	103332	21164
415	103585	20916
416	103817	20663
417	104066	20414
418	104307	20164
419	104584	19920
420	104851	19675
421	105110	19427
422	105357	19178
423	105587	18926
424	105850	18679
425	106094	18429
426	106352	18182
427	106599	17932
428	106859	17685
429	107103	17435
430	107340	17184
431	107598	16936
432	107835	16685
433	108075	16435
434	108326	16186
435	108580	15938
436	108835	15690
437	109094	15442
438	109380	15198
439	109627	14949
440	109860	14697
441	110094	14446
442	110330	14195
443	110582	13947
444	110823	13697
445	111060	13446
446	111301	13196
447	111570	12950
448	111821	12701
449	112070	12452
450	112298	12200
451	112559	11953
452	112816	11705
453	113079	11457
454	113340	11209
455	113594	10960
456	113871	10714
457	114097	10463
458	114341	10213
459	114568	9962
460	114793	9711
461	115027	9461
462	115281	9212
463	115519	8962
464	115777	8714
465	116011	8464
466	116258	8215
467	116501	7965
468	116754	7717
469	116981	7466
470	117218	7217
471	117481	6969
472	117729	6720
473	117976	6471
474	118227	6222
475	118467	5973
476	118714	5724
477	118939	5474
478	119187	5225
479	119446	4976
480	119686	4727
481	119921	4478
482	120167	4229
483	120396	3980
484	120657	3731
485	120904	3482
486	121145	3233
487	121409	2985
488	121657	2736
489	121896	2487
490	122136	2238
491	122378	1989
492	122611	1740
493	122846	1492
494	123088	1243
495	123339	994
496	123577	745
497	123802	497
498	124042	248
499	124302	0
