iter	Logloss
0	0.6704649051
50	0.1880684179
100	0.09424196063
150	0.05952474574
200	0.04181664396
250	0.03187627595
300	0.02549771702
350	0.02107615691
400	0.01784021183
450	0.01552989183
499	0.01380453277
