iter	Passed	Remaining
196	47474	73019
197	47684	72730
198	47904	72458
199	48132	72198
200	48359	71937
201	48573	71657
202	48787	71379
203	49014	71118
204	49242	70860
205	49470	70603
206	49740	70405
207	49965	70144
208	50194	69888
209	50420	69628
210	50660	69388
211	50888	69131
212	51100	68853
213	51305	68567
214	51508	68278
215	51705	67982
216	51918	67709
217	52137	67444
218	52360	67183
219	52576	66915
220	52787	66641
221	53010	66382
222	53225	66114
223	53431	65835
224	53634	65552
225	53838	65273
226	54037	64988
227	54245	64714
228	54442	64427
229	54661	64168
230	54893	63923
231	55148	63705
232	55381	63462
233	55621	63228
234	55881	63015
235	56119	62778
236	56360	62543
237	56600	62308
238	56846	62078
239	57103	61862
240	57389	61675
241	57610	61419
242	57823	61155
243	58033	60887
244	58244	60621
245	58456	60357
246	58658	60083
247	58874	59823
248	59088	59563
249	59301	59301
250	59511	59036
251	59725	58776
252	59947	58526
253	60165	58270
254	60387	58019
255	60632	57790
256	60898	57581
257	61135	57343
258	61386	57120
259	61641	56899
260	61906	56687
261	62151	56458
262	62414	56244
263	62666	56020
264	62921	55798
265	63166	55567
266	63449	55370
267	63717	55158
268	63959	54923
269	64198	54687
270	64425	54440
271	64649	54191
272	64870	53939
273	65089	53687
274	65304	53431
275	65523	53178
276	65743	52926
277	65966	52678
278	66179	52421
279	66389	52162
280	66603	51908
281	66817	51652
282	67026	51394
283	67242	51141
284	67459	50890
285	67716	50668
286	67957	50435
287	68201	50203
288	68446	49972
289	68740	49777
290	68994	49552
291	69233	49316
292	69496	49097
293	69722	48852
294	69974	48626
295	70235	48405
296	70474	48169
297	70723	47940
298	70975	47712
299	71208	47472
300	71469	47250
301	71725	47025
302	71968	46791
303	72200	46550
304	72452	46322
305	72719	46103
306	72969	45873
307	73188	45624
308	73403	45372
309	73617	45120
310	73835	44870
311	74053	44622
312	74275	44375
313	74489	44124
314	74703	43873
315	74913	43620
316	75126	43369
317	75344	43121
318	75566	42876
319	75782	42627
320	75994	42377
321	76211	42129
322	76428	41881
323	76655	41640
324	76909	41413
325	77181	41195
326	77433	40966
327	77685	40737
328	77924	40501
329	78158	40263
330	78423	40040
331	78674	39811
332	78961	39599
333	79200	39363
334	79472	39142
335	79757	38929
336	79996	38692
337	80256	38466
338	80547	38253
339	80833	38039
340	81086	37808
341	81336	37576
342	81599	37350
343	81849	37117
344	82097	36884
345	82343	36650
346	82580	36411
347	82830	36178
348	83097	35953
349	83377	35733
350	83659	35513
351	83927	35287
352	84198	35063
353	84446	34828
354	84686	34590
355	84934	34355
356	85184	34121
357	85402	33874
358	85623	33629
359	85838	33381
360	86055	33134
361	86272	32888
362	86487	32641
363	86701	32394
364	86914	32146
365	87126	31898
366	87333	31649
367	87540	31400
368	87755	31154
369	87972	30909
370	88190	30664
371	88422	30424
372	88661	30187
373	88905	29952
374	89169	29723
375	89424	29491
376	89661	29252
377	89910	29018
378	90162	28785
379	90404	28548
380	90647	28312
381	90892	28076
382	91150	27845
383	91378	27603
384	91631	27370
385	91868	27132
386	92136	26902
387	92397	26671
388	92658	26439
389	92925	26209
390	93170	25973
391	93408	25735
392	93659	25500
393	93930	25270
394	94177	25034
395	94448	24804
396	94731	24577
397	94965	24337
398	95226	24104
399	95487	23871
400	95755	23640
401	95987	23399
402	96222	23160
403	96442	22917
404	96675	22676
405	96900	22435
406	97126	22193
407	97361	21954
408	97584	21711
409	97800	21468
410	98020	21225
411	98238	20983
412	98463	20741
413	98682	20499
414	98897	20256
415	99108	20012
416	99316	19767
417	99534	19525
418	99772	19287
419	100027	19052
420	100262	18814
421	100506	18576
422	100735	18337
423	100962	18097
424	101221	17862
425	101453	17623
426	101693	17385
427	101951	17150
428	102226	16918
429	102478	16682
430	102694	16440
431	102909	16198
432	103117	15955
433	103325	15713
434	103535	15470
435	103762	15231
436	103980	14990
437	104194	14748
438	104414	14508
439	104629	14267
440	104843	14026
441	105057	13785
442	105277	13545
443	105497	13305
444	105728	13067
445	105973	12830
446	106212	12593
447	106441	12354
448	106683	12117
449	106910	11878
450	107144	11640
451	107373	11402
452	107613	11165
453	107848	10927
454	108088	10690
455	108326	10452
456	108565	10215
457	108836	9980
458	109075	9743
459	109317	9505
460	109557	9268
461	109791	9030
462	110047	8794
463	110298	8557
464	110570	8322
465	110818	8085
466	111079	7849
467	111314	7611
468	111541	7372
469	111783	7135
470	112045	6898
471	112295	6661
472	112547	6424
473	112778	6186
474	113017	5948
475	113269	5711
476	113516	5473
477	113765	5236
478	114006	4998
479	114270	4761
480	114506	4523
481	114774	4286
482	115012	4048
483	115264	3810
484	115519	3572
485	115791	3335
486	116044	3097
487	116298	2859
488	116525	2621
489	116779	2383
490	117028	2145
491	117296	1907
492	117551	1669
493	117802	1430
494	118058	1192
495	118312	954
496	118561	715
497	118821	477
498	119074	238
499	119324	0
